property_id,month,noi_monthly,occupancy,revenue,opex,debt_service_monthly
PROP-002,2024-03,217490.0,0.938,340573.0,129418.0,143285.0
PROP-002,2024-04,218415.0,0.945,343361.0,130477.0,143285.0
PROP-002,2024-05,213942.0,0.936,339968.0,129188.0,143285.0
PROP-002,2024-06,217271.0,0.965,350437.0,133166.0,143285.0
PROP-002,2024-07,213669.0,0.963,349876.0,132953.0,143285.0
PROP-002,2024-08,202373.0,0.923,335115.0,127344.0,143285.0
PROP-002,2024-09,212130.0,0.971,352728.0,134037.0,143285.0
PROP-002,2024-10,208965.0,0.953,346030.0,131492.0,143285.0
PROP-002,2024-11,213750.0,0.964,350008.0,133003.0,143285.0
PROP-003,2022-01,171322.0,0.988,276326.0,105004.0,111119.0
PROP-003,2022-01,171091.0,0.972,271875.0,103312.0,111119.0
PROP-003,2022-03,176049.0,0.99,276760.0,105169.0,111119.0
PROP-003,2022-04,179162.0,0.99,280554.0,106610.0,111119.0
PROP-003,2022-05,171219.0,0.963,269166.0,102283.0,111119.0
PROP-003,2022-05,174932.0,0.99,277978.0,105632.0,111119.0
PROP-003,2022-06,169605.0,0.978,273556.0,103951.0,111119.0
PROP-003,2022-07,166514.0,0.975,272661.0,103611.0,111119.0
PROP-003,2022-08,164184.0,0.972,271876.0,103313.0,111119.0
PROP-003,2022-09,166416.0,0.99,276715.0,105152.0,111119.0
PROP-003,2022-10,162531.0,0.962,269139.0,102273.0,111119.0
PROP-003,2022-11,170197.0,0.99,278691.0,105903.0,111119.0
PROP-003,2022-12,172575.0,0.99,278347.0,105772.0,111119.0
PROP-003,2023-01,167496.0,0.952,266163.0,101142.0,111119.0
PROP-003,2023-02,177589.0,0.99,279181.0,106089.0,111119.0
PROP-003,2023-03,171615.0,0.961,268737.0,102120.0,111119.0
PROP-003,2023-04,173246.0,0.974,272353.0,103494.0,111119.0
PROP-003,2023-05,172893.0,0.982,274738.0,104400.0,111119.0
PROP-003,2023-06,167989.0,0.969,270950.0,102961.0,111119.0
PROP-003,2023-07,161966.0,0.948,265213.0,100781.0,111119.0
PROP-003,2023-08,168292.0,0.99,278678.0,105898.0,111119.0
PROP-003,2023-09,161008.0,0.957,267721.0,101734.0,111119.0
PROP-003,2023-10,161974.0,0.959,268217.0,101922.0,111119.0
PROP-003,2023-11,169658.0,0.99,277809.0,105567.0,111119.0
PROP-003,2023-12,167596.0,0.967,270317.0,102720.0,111119.0
PROP-003,2024-01,175675.0,0.99,279159.0,106081.0,111119.0
PROP-003,2024-02,175710.0,0.988,276226.0,104966.0,111119.0
PROP-003,2024-03,171954.0,0.963,269268.0,102322.0,111119.0
PROP-003,2024-04,168511.0,0.947,264910.0,100666.0,111119.0
PROP-003,2024-05,176373.0,0.99,280269.0,106502.0,111119.0
PROP-003,2024-06,165010.0,0.952,266145.0,101135.0,111119.0
PROP-003,2024-07,168880.0,0.989,276535.0,105083.0,111119.0
PROP-003,2024-08,164708.0,0.975,272744.0,103643.0,111119.0
PROP-003,2024-09,166683.0,0.99,277159.0,105320.0,111119.0
PROP-003,2024-10,166706.0,0.987,276053.0,104900.0,111119.0
PROP-003,2024-11,168138.0,0.985,275321.0,104622.0,111119.0
PROP-004,2022-01,257616.0,0.976,415509.0,157893.0,193206.0
PROP-004,2022-01,266222.0,0.99,423045.0,160757.0,193206.0
PROP-004,2022-03,257997.0,0.953,405587.0,154123.0,193206.0
PROP-004,2022-04,261056.0,0.961,408793.0,155342.0,193206.0
PROP-004,2022-05,267497.0,0.988,420522.0,159798.0,193206.0
PROP-004,2022-05,258582.0,0.966,410904.0,156144.0,193206.0
PROP-004,2022-06,259019.0,0.982,417772.0,158754.0,193206.0
PROP-004,2022-07,253484.0,0.975,415071.0,157727.0,193206.0
PROP-004,2022-08,251527.0,0.979,416509.0,158274.0,193206.0
PROP-004,2022-09,248907.0,0.973,413880.0,157274.0,193206.0
PROP-004,2022-10,254766.0,0.99,421873.0,160312.0,193206.0
PROP-004,2022-11,251314.0,0.967,411517.0,156377.0,193206.0
PROP-004,2022-12,260895.0,0.989,420798.0,159903.0,193206.0
PROP-004,2023-01,258028.0,0.964,410024.0,155809.0,193206.0
PROP-004,2023-02,260510.0,0.962,409537.0,155624.0,193206.0
PROP-004,2023-03,259448.0,0.955,406276.0,154385.0,193206.0
PROP-004,2023-04,259576.0,0.959,408070.0,155067.0,193206.0
PROP-004,2023-05,255652.0,0.955,406248.0,154374.0,193206.0
PROP-004,2023-06,258312.0,0.979,416633.0,158320.0,193206.0
PROP-004,2023-07,257885.0,0.99,422278.0,160466.0,193206.0
PROP-004,2023-08,246318.0,0.959,407884.0,154996.0,193206.0
PROP-004,2023-09,245770.0,0.96,408663.0,155292.0,193206.0
PROP-004,2023-10,250823.0,0.976,415344.0,157831.0,193206.0
PROP-004,2023-11,257312.0,0.99,421340.0,160109.0,193206.0
PROP-004,2023-12,265129.0,0.99,427627.0,162498.0,193206.0
PROP-004,2024-01,262011.0,0.978,416353.0,158214.0,193206.0
PROP-004,2024-02,261011.0,0.964,410325.0,155924.0,193206.0
PROP-004,2024-03,259127.0,0.954,405773.0,154194.0,193206.0
PROP-004,2024-04,259601.0,0.959,408108.0,155081.0,193206.0
PROP-004,2024-05,257346.0,0.961,408940.0,155397.0,193206.0
PROP-004,2024-06,252800.0,0.958,407742.0,154942.0,193206.0
PROP-004,2024-07,246490.0,0.949,403619.0,153375.0,193206.0
PROP-004,2024-08,251575.0,0.979,416590.0,158304.0,193206.0
PROP-004,2024-09,246639.0,0.964,410108.0,155841.0,193206.0
PROP-004,2024-10,258205.0,0.99,427569.0,162476.0,193206.0
PROP-004,2024-11,254704.0,0.98,417069.0,158486.0,193206.0
PROP-005,2022-01,196987.0,0.92,317721.0,120734.0,124917.0
PROP-005,2022-01,193170.0,0.889,306960.0,116645.0,124917.0
PROP-005,2022-03,204155.0,0.929,320943.0,121958.0,124917.0
PROP-005,2022-04,200412.0,0.909,313829.0,119255.0,124917.0
PROP-005,2022-05,204206.0,0.929,321023.0,121989.0,124917.0
PROP-005,2022-05,198479.0,0.913,315397.0,119851.0,124917.0
PROP-005,2022-06,194323.0,0.907,313425.0,119101.0,124917.0
PROP-005,2022-07,191076.0,0.906,312880.0,118894.0,124917.0
PROP-005,2022-08,186032.0,0.892,308055.0,117061.0,124917.0
PROP-005,2022-09,183757.0,0.885,305549.0,116109.0,124917.0
PROP-005,2022-10,194641.0,0.933,322311.0,122478.0,124917.0
PROP-005,2022-11,191504.0,0.908,313582.0,119161.0,124917.0
PROP-005,2022-12,198443.0,0.927,320070.0,121627.0,124917.0
PROP-005,2023-01,196424.0,0.904,312131.0,118610.0,124917.0
PROP-005,2023-02,194634.0,0.886,305977.0,116271.0,124917.0
PROP-005,2023-03,202079.0,0.916,316440.0,120247.0,124917.0
PROP-005,2023-04,194389.0,0.885,305591.0,116125.0,124917.0
PROP-005,2023-05,193442.0,0.89,307392.0,116809.0,124917.0
PROP-005,2023-06,195415.0,0.912,315185.0,119770.0,124917.0
PROP-005,2023-07,189504.0,0.898,310306.0,117916.0,124917.0
PROP-005,2023-08,195242.0,0.936,323307.0,122857.0,124917.0
PROP-005,2023-09,184517.0,0.888,306813.0,116589.0,124917.0
PROP-005,2023-10,192632.0,0.923,318983.0,121214.0,124917.0
PROP-005,2023-11,192984.0,0.915,316004.0,120082.0,124917.0
PROP-005,2023-12,198077.0,0.925,319479.0,121402.0,124917.0
PROP-005,2024-01,194349.0,0.894,308833.0,117357.0,124917.0
PROP-005,2024-02,200009.0,0.91,314427.0,119482.0,124917.0
PROP-005,2024-03,199926.0,0.906,313069.0,118966.0,124917.0
PROP-005,2024-04,199052.0,0.906,312922.0,118910.0,124917.0
PROP-005,2024-05,201871.0,0.929,320787.0,121899.0,124917.0
PROP-005,2024-06,200405.0,0.936,323234.0,122829.0,124917.0
PROP-005,2024-07,189521.0,0.898,310335.0,117927.0,124917.0
PROP-005,2024-08,191000.0,0.916,316282.0,120187.0,124917.0
PROP-005,2024-09,190083.0,0.915,316067.0,120105.0,124917.0
PROP-005,2024-10,192354.0,0.922,318525.0,121039.0,124917.0
PROP-005,2024-11,196910.0,0.933,322434.0,122525.0,124917.0
PROP-006,2022-01,271912.0,0.933,438568.0,166656.0,248503.0
PROP-006,2022-01,276045.0,0.934,438654.0,166689.0,248503.0
PROP-006,2022-03,286688.0,0.959,450691.0,171263.0,248503.0
PROP-006,2022-04,279202.0,0.93,437209.0,166139.0,248503.0
PROP-006,2022-05,278398.0,0.931,437658.0,166310.0,248503.0
PROP-006,2022-05,273754.0,0.926,435013.0,165305.0,248503.0
PROP-006,2022-06,268506.0,0.922,433074.0,164568.0,248503.0
PROP-006,2022-07,271803.0,0.947,445069.0,169126.0,248503.0
PROP-006,2022-08,271091.0,0.955,448907.0,170585.0,248503.0
PROP-006,2022-09,265099.0,0.938,440803.0,167505.0,248503.0
PROP-006,2022-10,265231.0,0.935,439202.0,166897.0,248503.0
PROP-006,2022-11,275998.0,0.962,451937.0,171736.0,248503.0
PROP-006,2022-12,280135.0,0.962,451831.0,171696.0,248503.0
PROP-006,2023-01,280141.0,0.947,445163.0,169162.0,248503.0
PROP-006,2023-02,287147.0,0.961,451413.0,171537.0,248503.0
PROP-006,2023-03,292318.0,0.974,457748.0,173944.0,248503.0
PROP-006,2023-04,288859.0,0.966,454103.0,172559.0,248503.0
PROP-006,2023-05,283024.0,0.957,449744.0,170903.0,248503.0
PROP-006,2023-06,279441.0,0.959,450711.0,171270.0,248503.0
PROP-006,2023-07,279706.0,0.975,458009.0,174044.0,248503.0
PROP-006,2023-08,268363.0,0.946,444389.0,168868.0,248503.0
PROP-006,2023-09,269179.0,0.953,447588.0,170083.0,248503.0
PROP-006,2023-10,271962.0,0.958,450348.0,171132.0,248503.0
PROP-006,2023-11,279293.0,0.973,457333.0,173787.0,248503.0
PROP-006,2023-12,282188.0,0.969,455143.0,172954.0,248503.0
PROP-006,2024-01,273692.0,0.926,434915.0,165268.0,248503.0
PROP-006,2024-02,278263.0,0.931,437446.0,166230.0,248503.0
PROP-006,2024-03,281777.0,0.939,441241.0,167672.0,248503.0
PROP-006,2024-04,288197.0,0.964,453062.0,172164.0,248503.0
PROP-006,2024-05,282082.0,0.954,448248.0,170334.0,248503.0
PROP-006,2024-06,273254.0,0.938,440732.0,167478.0,248503.0
PROP-006,2024-07,266469.0,0.929,436333.0,165807.0,248503.0
PROP-006,2024-08,272626.0,0.961,451448.0,171550.0,248503.0
PROP-006,2024-09,271679.0,0.961,451744.0,171663.0,248503.0
PROP-006,2024-10,276734.0,0.975,458251.0,174135.0,248503.0
PROP-006,2024-11,272621.0,0.95,446407.0,169635.0,248503.0
PROP-007,2022-01,365258.0,0.936,589125.0,223868.0,331302.0
PROP-007,2022-01,361538.0,0.912,574509.0,218313.0,331302.0
PROP-007,2022-03,364537.0,0.91,573074.0,217768.0,331302.0
PROP-007,2022-04,374821.0,0.932,586941.0,223038.0,331302.0
PROP-007,2022-05,370890.0,0.926,583062.0,221563.0,331302.0
PROP-007,2022-05,365320.0,0.922,580517.0,220597.0,331302.0
PROP-007,2022-06,356434.0,0.913,574894.0,218460.0,331302.0
PROP-007,2022-07,369888.0,0.962,605678.0,230158.0,331302.0
PROP-007,2022-08,363075.0,0.955,601224.0,228465.0,331302.0
PROP-007,2022-09,356031.0,0.94,592004.0,224961.0,331302.0
PROP-007,2022-10,365527.0,0.961,605285.0,230008.0,331302.0
PROP-007,2022-11,370701.0,0.964,607010.0,230664.0,331302.0
PROP-007,2022-12,369171.0,0.946,595437.0,226266.0,331302.0
PROP-007,2023-01,365746.0,0.923,581194.0,220854.0,331302.0
PROP-007,2023-02,364545.0,0.91,573087.0,217773.0,331302.0
PROP-007,2023-03,382142.0,0.95,598406.0,227394.0,331302.0
PROP-007,2023-04,374223.0,0.934,588302.0,223555.0,331302.0
PROP-007,2023-05,374246.0,0.945,594702.0,225987.0,331302.0
PROP-007,2023-06,374515.0,0.959,604057.0,229542.0,331302.0
PROP-007,2023-07,353035.0,0.918,578082.0,219671.0,331302.0
PROP-007,2023-08,357723.0,0.941,592362.0,225098.0,331302.0
PROP-007,2023-09,357298.0,0.944,594111.0,225762.0,331302.0
PROP-007,2023-10,355724.0,0.936,589052.0,223840.0,331302.0
PROP-007,2023-11,351086.0,0.913,574891.0,218458.0,331302.0
PROP-007,2023-12,362060.0,0.927,583968.0,221908.0,331302.0
PROP-007,2024-01,367165.0,0.927,583450.0,221711.0,331302.0
PROP-007,2024-02,378714.0,0.946,595361.0,226237.0,331302.0
PROP-007,2024-03,384434.0,0.956,601994.0,228758.0,331302.0
PROP-007,2024-04,371059.0,0.926,583326.0,221664.0,331302.0
PROP-007,2024-05,375184.0,0.947,596193.0,226553.0,331302.0
PROP-007,2024-06,360751.0,0.924,581856.0,221105.0,331302.0
PROP-007,2024-07,369527.0,0.961,605087.0,229933.0,331302.0
PROP-007,2024-08,362596.0,0.954,600433.0,228164.0,331302.0
PROP-007,2024-09,355497.0,0.939,591116.0,224624.0,331302.0
PROP-007,2024-10,354936.0,0.933,587747.0,223344.0,331302.0
PROP-007,2024-11,355907.0,0.926,582786.0,221459.0,331302.0
PROP-008,2022-01,261480.0,0.927,421741.0,160262.0,223320.0
PROP-008,2022-01,275814.0,0.963,438286.0,166549.0,223320.0
PROP-008,2022-03,269589.0,0.932,423810.0,161048.0,223320.0
PROP-008,2022-04,272449.0,0.938,426634.0,162121.0,223320.0
PROP-008,2022-05,279089.0,0.964,438745.0,166723.0,223320.0
PROP-008,2022-05,270784.0,0.946,430293.0,163511.0,223320.0
PROP-008,2022-06,264957.0,0.939,427350.0,162393.0,223320.0
PROP-008,2022-07,258963.0,0.932,424042.0,161136.0,223320.0
PROP-008,2022-08,252590.0,0.919,418271.0,158943.0,223320.0
PROP-008,2022-09,254227.0,0.929,422726.0,160636.0,223320.0
PROP-008,2022-10,261376.0,0.951,432820.0,164471.0,223320.0
PROP-008,2022-11,262276.0,0.944,429468.0,163198.0,223320.0
PROP-008,2022-12,268404.0,0.952,432910.0,164506.0,223320.0
PROP-008,2023-01,263475.0,0.92,418679.0,159098.0,223320.0
PROP-008,2023-02,271949.0,0.94,427520.0,162458.0,223320.0
PROP-008,2023-03,279195.0,0.961,437199.0,166136.0,223320.0
PROP-008,2023-04,270141.0,0.934,424678.0,161378.0,223320.0
PROP-008,2023-05,271437.0,0.948,431331.0,163906.0,223320.0
PROP-008,2023-06,258279.0,0.916,416579.0,158300.0,223320.0
PROP-008,2023-07,267708.0,0.964,438362.0,166578.0,223320.0
PROP-008,2023-08,259097.0,0.943,429045.0,163037.0,223320.0
PROP-008,2023-09,252343.0,0.922,419593.0,159445.0,223320.0
PROP-008,2023-10,252139.0,0.918,417524.0,158659.0,223320.0
PROP-008,2023-11,261112.0,0.94,427561.0,162473.0,223320.0
PROP-008,2023-12,265110.0,0.94,427597.0,162487.0,223320.0
PROP-008,2024-01,261699.0,0.914,415857.0,158026.0,223320.0
PROP-008,2024-02,279157.0,0.965,438851.0,166763.0,223320.0
PROP-008,2024-03,278955.0,0.96,436822.0,165992.0,223320.0
PROP-008,2024-04,270521.0,0.935,425275.0,161605.0,223320.0
PROP-008,2024-05,262089.0,0.915,416477.0,158261.0,223320.0
PROP-008,2024-06,269549.0,0.956,434756.0,165207.0,223320.0
PROP-008,2024-07,260292.0,0.937,426219.0,161963.0,223320.0
PROP-008,2024-08,260761.0,0.949,431801.0,164084.0,223320.0
PROP-008,2024-09,256490.0,0.937,426488.0,162065.0,223320.0
PROP-008,2024-10,253916.0,0.924,420466.0,159777.0,223320.0
PROP-008,2024-11,265546.0,0.956,434822.0,165232.0,223320.0
PROP-009,2022-01,345427.0,0.961,557141.0,211713.0,299758.0
PROP-009,2022-01,335549.0,0.92,533210.0,202620.0,299758.0
PROP-009,2022-03,345535.0,0.937,543202.0,206417.0,299758.0
PROP-009,2022-04,343410.0,0.927,537754.0,204347.0,299758.0
PROP-009,2022-05,353195.0,0.958,555244.0,210993.0,299758.0
PROP-009,2022-05,340957.0,0.934,541804.0,205886.0,299758.0
PROP-009,2022-06,343394.0,0.955,553862.0,210467.0,299758.0
PROP-009,2022-07,337940.0,0.954,553365.0,210279.0,299758.0
PROP-009,2022-08,322639.0,0.921,534266.0,203021.0,299758.0
PROP-009,2022-09,331347.0,0.95,550959.0,209365.0,299758.0
PROP-009,2022-10,325361.0,0.929,538773.0,204734.0,299758.0
PROP-009,2022-11,339333.0,0.958,555646.0,211146.0,299758.0
PROP-009,2022-12,335909.0,0.934,541788.0,205879.0,299758.0
PROP-009,2023-01,347343.0,0.952,551952.0,209742.0,299758.0
PROP-009,2023-02,339987.0,0.922,534481.0,203103.0,299758.0
PROP-009,2023-03,341645.0,0.923,534991.0,203297.0,299758.0
PROP-009,2023-04,346273.0,0.939,544361.0,206857.0,299758.0
PROP-009,2023-05,350990.0,0.962,557747.0,211944.0,299758.0
PROP-009,2023-06,335544.0,0.933,541200.0,205656.0,299758.0
PROP-009,2023-07,323743.0,0.914,530119.0,201445.0,299758.0
PROP-009,2023-08,327787.0,0.936,542790.0,206260.0,299758.0
PROP-009,2023-09,322654.0,0.925,536504.0,203872.0,299758.0
PROP-009,2023-10,328048.0,0.937,543223.0,206425.0,299758.0
PROP-009,2023-11,331578.0,0.936,542948.0,206320.0,299758.0
PROP-009,2023-12,334853.0,0.931,540086.0,205233.0,299758.0
PROP-009,2024-01,337145.0,0.924,535746.0,203583.0,299758.0
PROP-009,2024-02,338041.0,0.917,531420.0,201940.0,299758.0
PROP-009,2024-03,349923.0,0.945,547954.0,208222.0,299758.0
PROP-009,2024-04,345960.0,0.938,543869.0,206670.0,299758.0
PROP-009,2024-05,335341.0,0.919,532879.0,202494.0,299758.0
PROP-009,2024-06,341304.0,0.949,550490.0,209186.0,299758.0
PROP-009,2024-07,321661.0,0.908,526709.0,200149.0,299758.0
PROP-009,2024-08,331831.0,0.948,549488.0,208805.0,299758.0
PROP-009,2024-09,329690.0,0.946,548205.0,208318.0,299758.0
PROP-009,2024-10,333140.0,0.951,551655.0,209629.0,299758.0
PROP-009,2024-11,328456.0,0.928,537835.0,204377.0,299758.0
PROP-010,2022-01,235963.0,0.965,380585.0,144622.0,150995.0
PROP-010,2022-01,241737.0,0.974,384136.0,145972.0,150995.0
PROP-010,2022-03,246655.0,0.984,387756.0,147347.0,150995.0
PROP-010,2022-04,240610.0,0.956,376778.0,143175.0,150995.0
PROP-010,2022-05,233079.0,0.929,366414.0,139237.0,150995.0
PROP-010,2022-05,237205.0,0.956,376935.0,143235.0,150995.0
PROP-010,2022-06,234932.0,0.961,378922.0,143991.0,150995.0
PROP-010,2022-07,235268.0,0.977,385243.0,146392.0,150995.0
PROP-010,2022-08,232707.0,0.977,385345.0,146431.0,150995.0
PROP-010,2022-09,225846.0,0.953,375533.0,142703.0,150995.0
PROP-010,2022-10,227951.0,0.957,377470.0,143439.0,150995.0
PROP-010,2022-11,229568.0,0.954,375909.0,142846.0,150995.0
PROP-010,2022-12,236786.0,0.969,381913.0,145127.0,150995.0
PROP-010,2023-01,235892.0,0.951,374848.0,142442.0,150995.0
PROP-010,2023-02,241965.0,0.965,380383.0,144546.0,150995.0
PROP-010,2023-03,235686.0,0.936,369067.0,140246.0,150995.0
PROP-010,2023-04,239300.0,0.954,376193.0,142953.0,150995.0
PROP-010,2023-05,243850.0,0.983,387493.0,147247.0,150995.0
PROP-010,2023-06,231404.0,0.947,373233.0,141828.0,150995.0
PROP-010,2023-07,232824.0,0.967,381241.0,144872.0,150995.0
PROP-010,2023-08,229643.0,0.965,380271.0,144503.0,150995.0
PROP-010,2023-09,231441.0,0.976,384838.0,146238.0,150995.0
PROP-010,2023-10,232408.0,0.976,384851.0,146243.0,150995.0
PROP-010,2023-11,235125.0,0.977,385009.0,146303.0,150995.0
PROP-010,2023-12,231985.0,0.949,374170.0,142185.0,150995.0
PROP-010,2024-01,234564.0,0.945,372737.0,141640.0,150995.0
PROP-010,2024-02,242885.0,0.969,381829.0,145095.0,150995.0
PROP-010,2024-03,244424.0,0.971,382749.0,145445.0,150995.0
PROP-010,2024-04,245095.0,0.977,385304.0,146415.0,150995.0
PROP-010,2024-05,230568.0,0.929,366388.0,139228.0,150995.0
PROP-010,2024-06,227617.0,0.931,367124.0,139507.0,150995.0
PROP-010,2024-07,231974.0,0.964,379849.0,144343.0,150995.0
PROP-010,2024-08,233345.0,0.98,386402.0,146833.0,150995.0
PROP-010,2024-09,233422.0,0.985,388131.0,147490.0,150995.0
PROP-010,2024-10,230967.0,0.97,382463.0,145336.0,150995.0
PROP-010,2024-11,229251.0,0.952,375390.0,142648.0,150995.0
PROP-011,2022-01,322197.0,0.912,519673.0,197476.0,234505.0
PROP-011,2022-01,337793.0,0.943,536776.0,203975.0,234505.0
PROP-011,2022-03,346302.0,0.956,544407.0,206875.0,234505.0
PROP-011,2022-04,338907.0,0.932,530704.0,201667.0,234505.0
PROP-011,2022-05,342672.0,0.946,538701.0,204707.0,234505.0
PROP-011,2022-05,343216.0,0.958,545393.0,207249.0,234505.0
PROP-011,2022-06,321158.0,0.91,517997.0,196839.0,234505.0
PROP-011,2022-07,330978.0,0.952,541965.0,205947.0,234505.0
PROP-011,2022-08,317587.0,0.923,525901.0,199842.0,234505.0
PROP-011,2022-09,317842.0,0.928,528504.0,200832.0,234505.0
PROP-011,2022-10,314736.0,0.915,521179.0,198048.0,234505.0
PROP-011,2022-11,325808.0,0.937,533499.0,202730.0,234505.0
PROP-011,2022-12,331458.0,0.939,534610.0,203152.0,234505.0
PROP-011,2023-01,340986.0,0.951,541849.0,205903.0,234505.0
PROP-011,2023-02,332022.0,0.916,521959.0,198344.0,234505.0
PROP-011,2023-03,331466.0,0.911,519051.0,197239.0,234505.0
PROP-011,2023-04,346266.0,0.956,544351.0,206854.0,234505.0
PROP-011,2023-05,337511.0,0.942,536328.0,203805.0,234505.0
PROP-011,2023-06,325018.0,0.92,524223.0,199205.0,234505.0
PROP-011,2023-07,333255.0,0.958,545693.0,207363.0,234505.0
PROP-011,2023-08,314688.0,0.915,521101.0,198018.0,234505.0
PROP-011,2023-09,319501.0,0.933,531262.0,201879.0,234505.0
PROP-011,2023-10,316827.0,0.921,524643.0,199364.0,234505.0
PROP-011,2023-11,320426.0,0.921,524686.0,199381.0,234505.0
PROP-011,2023-12,320434.0,0.907,516828.0,196395.0,234505.0
PROP-011,2024-01,341229.0,0.952,542236.0,206050.0,234505.0
PROP-011,2024-02,346884.0,0.958,545322.0,207222.0,234505.0
PROP-011,2024-03,343680.0,0.945,538178.0,204508.0,234505.0
PROP-011,2024-04,331778.0,0.916,521575.0,198199.0,234505.0
PROP-011,2024-05,333933.0,0.932,530641.0,201644.0,234505.0
PROP-011,2024-06,327093.0,0.926,527569.0,200476.0,234505.0
PROP-011,2024-07,326908.0,0.94,535301.0,203414.0,234505.0
PROP-011,2024-08,324255.0,0.943,536942.0,204038.0,234505.0
PROP-011,2024-09,318793.0,0.931,530085.0,201432.0,234505.0
PROP-011,2024-10,316753.0,0.921,524519.0,199317.0,234505.0
PROP-011,2024-11,331937.0,0.954,543536.0,206544.0,234505.0
PROP-012,2022-01,251152.0,0.957,405084.0,153932.0,223587.0
PROP-012,2022-01,257808.0,0.968,409675.0,155676.0,223587.0
