property_id,property_name,market,asset_type,scenario,noi_adjusted,cap_rate_adj,value_adjusted,noi_delta_pct,scenario_score,scenario_decision
PROP-025,Denver Multifamily 25,Denver,Multifamily,Base,2496774.0,0.0631,39568526.0,0.0,40,VALUE-ADD
PROP-025,Denver Multifamily 25,Denver,Multifamily,Upside,2696516.0,0.0606,44496964.0,8.0,50,SELL
PROP-025,Denver Multifamily 25,Denver,Multifamily,Downside,2247097.0,0.0681,32997019.0,-10.0,25,VALUE-ADD
PROP-026,Denver Office 26,Denver,Office,Base,2422400.0,0.0684,35415205.0,0.0,70,HOLD
PROP-026,Denver Office 26,Denver,Office,Upside,2616192.0,0.0659,39699423.0,8.0,80,HOLD
PROP-026,Denver Office 26,Denver,Office,Downside,2180160.0,0.0734,29702452.0,-10.0,55,SELL
PROP-027,Dallas Multifamily 27,Dallas-Fort Worth,Multifamily,Base,1210188.0,0.0565,21419257.0,0.0,60,SELL
PROP-027,Dallas Multifamily 27,Dallas-Fort Worth,Multifamily,Upside,1307003.0,0.054,24203759.0,8.0,70,HOLD
PROP-027,Dallas Multifamily 27,Dallas-Fort Worth,Multifamily,Downside,1089169.0,0.0615,17710065.0,-10.0,45,VALUE-ADD
PROP-028,Houston Industrial 28,Houston,Industrial,Base,3266133.0,0.0672,48603170.0,0.0,55,SELL
PROP-028,Houston Industrial 28,Houston,Industrial,Upside,3527424.0,0.0647,54519691.0,8.0,65,SELL
PROP-028,Houston Industrial 28,Houston,Industrial,Downside,2939520.0,0.0722,40713573.0,-10.0,40,VALUE-ADD
PROP-029,Dallas Industrial 29,Dallas-Fort Worth,Industrial,Base,1710259.0,0.0728,23492569.0,0.0,80,HOLD
PROP-029,Dallas Industrial 29,Dallas-Fort Worth,Industrial,Upside,1847080.0,0.0703,26274253.0,8.0,90,HOLD
PROP-029,Dallas Industrial 29,Dallas-Fort Worth,Industrial,Downside,1539233.0,0.0778,19784486.0,-10.0,65,SELL
PROP-030,Houston Retail 30,Houston,Retail,Base,841669.0,0.0568,14818116.0,0.0,40,VALUE-ADD
PROP-030,Houston Retail 30,Houston,Retail,Upside,909003.0,0.0543,16740387.0,8.0,50,SELL
PROP-030,Houston Retail 30,Houston,Retail,Downside,757502.0,0.0618,12257314.0,-10.0,25,VALUE-ADD
PROP-031,Austin Retail 31,Austin,Retail,Base,4329690.0,0.0662,65403172.0,0.0,60,SELL
PROP-031,Austin Retail 31,Austin,Retail,Upside,4676065.0,0.0637,73407614.0,8.0,70,HOLD
PROP-031,Austin Retail 31,Austin,Retail,Downside,3896721.0,0.0712,54729228.0,-10.0,45,VALUE-ADD
PROP-032,Denver Industrial 32,Denver,Industrial,Base,1400884.0,0.0558,25105448.0,0.0,40,VALUE-ADD
PROP-032,Denver Industrial 32,Denver,Industrial,Upside,1512955.0,0.0533,28385647.0,8.0,50,SELL
PROP-032,Denver Industrial 32,Denver,Industrial,Downside,1260796.0,0.0608,20736776.0,-10.0,25,VALUE-ADD
PROP-033,Austin Multifamily 33,Austin,Multifamily,Base,4659457.0,0.0745,62543047.0,0.0,65,SELL
PROP-033,Austin Multifamily 33,Austin,Multifamily,Upside,5032214.0,0.072,69891861.0,8.0,75,HOLD
PROP-033,Austin Multifamily 33,Austin,Multifamily,Downside,4193511.0,0.0795,52748566.0,-10.0,50,SELL
PROP-034,Dallas Industrial 34,Dallas-Fort Worth,Industrial,Base,4491404.0,0.071,63259211.0,0.0,75,HOLD
PROP-034,Dallas Industrial 34,Dallas-Fort Worth,Industrial,Upside,4850716.0,0.0685,70813372.0,8.0,85,HOLD
PROP-034,Dallas Industrial 34,Dallas-Fort Worth,Industrial,Downside,4042264.0,0.076,53187684.0,-10.0,60,SELL
PROP-035,Dallas Retail 35,Dallas-Fort Worth,Retail,Base,2480257.0,0.0713,34786213.0,0.0,80,HOLD
PROP-035,Dallas Retail 35,Dallas-Fort Worth,Retail,Upside,2678678.0,0.0688,38934273.0,8.0,90,HOLD
PROP-035,Dallas Retail 35,Dallas-Fort Worth,Retail,Downside,2232231.0,0.0763,29255976.0,-10.0,65,SELL
PROP-036,Austin Retail 36,Austin,Retail,Base,3281948.0,0.0723,45393472.0,0.0,85,HOLD
PROP-036,Austin Retail 36,Austin,Retail,Upside,3544504.0,0.0698,50780860.0,8.0,95,HOLD
PROP-036,Austin Retail 36,Austin,Retail,Downside,2953753.0,0.0773,38211552.0,-10.0,70,HOLD
PROP-037,Dallas Multifamily 37,Dallas-Fort Worth,Multifamily,Base,2129000.0,0.0666,31966967.0,0.0,75,HOLD
PROP-037,Dallas Multifamily 37,Dallas-Fort Worth,Multifamily,Upside,2299320.0,0.0641,35870827.0,8.0,85,HOLD
PROP-037,Dallas Multifamily 37,Dallas-Fort Worth,Multifamily,Downside,1916100.0,0.0716,26761173.0,-10.0,60,SELL
PROP-038,Denver Multifamily 38,Denver,Multifamily,Base,2014068.0,0.0601,33511947.0,0.0,70,HOLD
PROP-038,Denver Multifamily 38,Denver,Multifamily,Upside,2175193.0,0.0576,37763767.0,8.0,80,HOLD
PROP-038,Denver Multifamily 38,Denver,Multifamily,Downside,1812661.0,0.0651,27844255.0,-10.0,55,SELL
PROP-039,Austin Office 39,Austin,Office,Base,1286988.0,0.074,17391730.0,0.0,75,HOLD
PROP-039,Austin Office 39,Austin,Office,Upside,1389947.0,0.0715,19439818.0,8.0,85,HOLD
PROP-039,Austin Office 39,Austin,Office,Downside,1158289.0,0.079,14661886.0,-10.0,60,SELL
PROP-040,Houston Retail 40,Houston,Retail,Base,4272438.0,0.0689,62009260.0,0.0,80,HOLD
PROP-040,Houston Retail 40,Houston,Retail,Upside,4614233.0,0.0664,69491461.0,8.0,90,HOLD
PROP-040,Houston Retail 40,Houston,Retail,Downside,3845194.0,0.0739,52032395.0,-10.0,65,SELL
PROP-041,Denver Office 41,Denver,Office,Base,492129.0,0.0611,8054484.0,0.0,50,SELL
PROP-041,Denver Office 41,Denver,Office,Upside,531499.0,0.0586,9069949.0,8.0,60,SELL
PROP-041,Denver Office 41,Denver,Office,Downside,442916.0,0.0661,6700696.0,-10.0,35,VALUE-ADD
PROP-042,Austin Retail 42,Austin,Retail,Base,1176431.0,0.0607,19381071.0,0.0,45,VALUE-ADD
PROP-042,Austin Retail 42,Austin,Retail,Upside,1270545.0,0.0582,21830670.0,8.0,55,SELL
PROP-042,Austin Retail 42,Austin,Retail,Downside,1058788.0,0.0657,16115495.0,-10.0,30,VALUE-ADD
PROP-043,Houston Industrial 43,Houston,Industrial,Base,1541652.0,0.0555,27777514.0,0.0,35,VALUE-ADD
PROP-043,Houston Industrial 43,Houston,Industrial,Upside,1664984.0,0.053,31414792.0,8.0,45,VALUE-ADD
PROP-043,Houston Industrial 43,Houston,Industrial,Downside,1387487.0,0.0605,22933669.0,-10.0,20,VALUE-ADD
PROP-044,Denver Industrial 44,Denver,Industrial,Base,4684313.0,0.063,74354175.0,0.0,65,SELL
PROP-044,Denver Industrial 44,Denver,Industrial,Upside,5059058.0,0.0605,83620793.0,8.0,75,HOLD
PROP-044,Denver Industrial 44,Denver,Industrial,Downside,4215882.0,0.068,61998265.0,-10.0,50,SELL
PROP-045,Austin Industrial 45,Austin,Industrial,Base,3939646.0,0.056,70350821.0,0.0,40,VALUE-ADD
PROP-045,Austin Industrial 45,Austin,Industrial,Upside,4254818.0,0.0535,79529308.0,8.0,50,SELL
PROP-045,Austin Industrial 45,Austin,Industrial,Downside,3545681.0,0.061,58125918.0,-10.0,25,VALUE-ADD
PROP-046,Denver Office 46,Denver,Office,Base,4810136.0,0.0635,75750173.0,0.0,50,SELL
PROP-046,Denver Office 46,Denver,Office,Upside,5194947.0,0.061,85163066.0,8.0,60,SELL
PROP-046,Denver Office 46,Denver,Office,Downside,4329122.0,0.0685,63198861.0,-10.0,35,VALUE-ADD
PROP-047,Austin Office 47,Austin,Office,Base,4930302.0,0.0675,73041511.0,0.0,70,HOLD
PROP-047,Austin Office 47,Austin,Office,Upside,5324726.0,0.065,81918862.0,8.0,80,HOLD
PROP-047,Austin Office 47,Austin,Office,Downside,4437272.0,0.0725,61203752.0,-10.0,55,SELL
PROP-048,Dallas Industrial 48,Dallas-Fort Worth,Industrial,Base,2447770.0,0.0627,39039394.0,0.0,60,SELL
PROP-048,Dallas Industrial 48,Dallas-Fort Worth,Industrial,Upside,2643592.0,0.0602,43913488.0,8.0,70,HOLD
PROP-048,Dallas Industrial 48,Dallas-Fort Worth,Industrial,Downside,2202993.0,0.0677,32540517.0,-10.0,45,VALUE-ADD
PROP-049,Dallas Industrial 49,Dallas-Fort Worth,Industrial,Base,4406080.0,0.0731,60274692.0,0.0,85,HOLD
PROP-049,Dallas Industrial 49,Dallas-Fort Worth,Industrial,Upside,4758566.0,0.0706,67401785.0,8.0,95,HOLD
PROP-049,Dallas Industrial 49,Dallas-Fort Worth,Industrial,Downside,3965472.0,0.0781,50774289.0,-10.0,70,HOLD
PROP-050,Dallas Office 50,Dallas-Fort Worth,Office,Base,4350739.0,0.0721,60343121.0,0.0,80,HOLD
PROP-050,Dallas Office 50,Dallas-Fort Worth,Office,Upside,4698798.0,0.0696,67511466.0,8.0,90,HOLD
PROP-050,Dallas Office 50,Dallas-Fort Worth,Office,Downside,3915665.0,0.0771,50786835.0,-10.0,65,SELL
