property_id,property_name,market,asset_type,status,acquisition_date,purchase_price,current_value,sqft,noi_annual,cap_rate,occupancy_rate,loan_amount,interest_rate,annual_debt_service,dscr,ltv,latitude,longitude
PROP-025,Denver Multifamily 25,Denver,Multifamily,Development,2020-05-19,17196777,21043278.0,68712,1150464.0,0.0669,0.892,12339053.0,0.059,837205.0,1.37,0.718,39.7392,-104.9903
PROP-026,Dallas Multifamily 26,Dallas-Fort Worth,Multifamily,Value-Add,2021-03-21,78166708,85144141.0,129897,4791619.0,0.0613,0.911,52846680.0,0.0664,4035372.0,1.19,0.676,32.7767,-96.797
PROP-027,Houston Retail 27,Houston,Retail,Development,2020-03-12,17736572,21315199.0,102883,979059.0,0.0552,0.89,12630495.0,0.0646,938319.0,1.04,0.712,29.7604,-95.3698
PROP-028,Austin Office 28,Austin,Office,Development,2022-09-01,40787299,49298883.0,38033,2545127.0,0.0624,0.95,27155151.0,0.0692,2161007.0,1.18,0.666,30.2672,-97.7431
PROP-029,Denver Office 29,Denver,Office,Development,2019-11-15,21903144,24787886.0,193903,1616452.0,0.0738,0.891,14531183.0,0.057,952519.0,1.7,0.663,39.7392,-104.9903
PROP-030,Denver Industrial 30,Denver,Industrial,Stabilized,2019-07-09,35326368,43814776.0,109884,2426921.0,0.0687,0.905,25975170.0,0.0636,1899824.0,1.28,0.735,39.7392,-104.9903
PROP-031,Houston Multifamily 31,Houston,Multifamily,Development,2022-12-16,52769200,62178269.0,20929,3714952.0,0.0704,0.954,37661976.0,0.0595,2577021.0,1.44,0.714,29.7604,-95.3698
PROP-032,Dallas Multifamily 32,Dallas-Fort Worth,Multifamily,Stabilized,2019-03-27,28005727,31995913.0,39724,1845577.0,0.0659,0.895,20541067.0,0.0649,1533083.0,1.2,0.733,32.7767,-96.797
PROP-033,Dallas Office 33,Dallas-Fort Worth,Office,Development,2019-11-13,41491314,55089227.0,75070,2833857.0,0.0683,0.967,28436813.0,0.0645,2109301.0,1.34,0.685,32.7767,-96.797
PROP-034,Austin Industrial 34,Austin,Industrial,Development,2020-05-23,63337219,71573699.0,66413,3515216.0,0.0555,0.973,45834387.0,0.0606,3194198.0,1.1,0.724,30.2672,-97.7431
PROP-035,Dallas Retail 35,Dallas-Fort Worth,Retail,Stabilized,2020-04-01,71174945,75238987.0,30151,4227792.0,0.0594,0.911,52075765.0,0.0628,3760912.0,1.12,0.732,32.7767,-96.797
PROP-036,Austin Retail 36,Austin,Retail,Value-Add,2022-10-23,45393469,61024479.0,106051,3281948.0,0.0723,0.944,33894800.0,0.0597,2327047.0,1.41,0.747,30.2672,-97.7431
PROP-037,Denver Office 37,Denver,Office,Stabilized,2019-08-11,23480907,28857363.0,27235,1702366.0,0.0725,0.978,15875947.0,0.0649,1184901.0,1.44,0.676,39.7392,-104.9903
PROP-038,Houston Office 38,Houston,Office,Value-Add,2019-01-04,76642041,92428470.0,134398,4391589.0,0.0573,0.884,56711315.0,0.0582,3795688.0,1.16,0.74,29.7604,-95.3698
PROP-039,Denver Industrial 39,Denver,Industrial,Stabilized,2023-01-14,65887757,86972765.0,115478,3716069.0,0.0564,0.911,47203555.0,0.0606,3289616.0,1.13,0.716,39.7392,-104.9903
PROP-040,Denver Office 40,Denver,Office,Development,2021-02-15,62813568,78717673.0,194821,3863034.0,0.0615,0.899,45208234.0,0.0644,3348122.0,1.15,0.72,39.7392,-104.9903
PROP-041,Austin Office 41,Austin,Office,Value-Add,2021-08-10,8054484,9524716.0,126450,492129.0,0.0611,0.941,5404706.0,0.0684,425134.0,1.16,0.671,30.2672,-97.7431
PROP-042,Austin Retail 42,Austin,Retail,Stabilized,2022-10-09,19381064,22154995.0,64483,1176431.0,0.0607,0.889,13884311.0,0.0655,1045836.0,1.12,0.716,30.2672,-97.7431
PROP-043,Austin Industrial 43,Austin,Industrial,Value-Add,2022-07-13,14202700,17365659.0,26402,850742.0,0.0599,0.887,9906577.0,0.0694,790644.0,1.08,0.698,30.2672,-97.7431
PROP-044,Phoenix Retail 44,Phoenix,Retail,Stabilized,2021-05-20,40747037,45459527.0,124766,2363328.0,0.058,0.966,29287432.0,0.0702,2364374.0,1.0,0.719,33.4484,-112.074
PROP-045,Denver Retail 45,Denver,Retail,Development,2022-02-18,41446826,50923050.0,33164,3038052.0,0.0733,0.926,27443430.0,0.0573,1808385.0,1.68,0.662,39.7392,-104.9903
PROP-046,Phoenix Retail 46,Phoenix,Retail,Stabilized,2022-07-29,67849511,76886618.0,163621,4946229.0,0.0729,0.906,49147848.0,0.0631,3566414.0,1.39,0.724,33.4484,-112.074
PROP-047,Denver Retail 47,Denver,Retail,Value-Add,2022-01-11,40111036,43086204.0,184298,2426718.0,0.0605,0.907,26382967.0,0.0599,1817391.0,1.34,0.658,39.7392,-104.9903
PROP-048,Austin Industrial 48,Austin,Industrial,Value-Add,2019-05-08,28509175,31703637.0,120410,1969984.0,0.0691,0.934,18714075.0,0.0619,1332161.0,1.48,0.656,30.2672,-97.7431
PROP-049,Phoenix Retail 49,Phoenix,Retail,Value-Add,2020-09-03,10621534,13553529.0,173112,765813.0,0.0721,0.881,7717176.0,0.0615,545797.0,1.4,0.727,33.4484,-112.074
PROP-050,Phoenix Industrial 50,Phoenix,Industrial,Value-Add,2023-01-23,37450273,41177078.0,147986,2265742.0,0.0605,0.947,26161420.0,0.0616,1853275.0,1.22,0.699,33.4484,-112.074
