property_id,property_name,market,asset_type,status,acquisition_date,purchase_price,current_value,sqft,noi_annual,cap_rate,occupancy_rate,loan_amount,interest_rate,annual_debt_service,dscr,ltv,latitude,longitude,unrealized_gain,appreciation_pct,going_in_yield,dscr_flag,occupancy_flag,cap_score,dscr_score,appr_score,occ_score,yield_score,total_score,decision,decision_reason,unrealized_gain,appreciation_pct,going_in_yield,dscr_flag,occupancy_flag
PROP-023,Phoenix Office 23,Phoenix,Office,Development,2020-10-04,73319931,88912042.0,130888,4259888.0,0.0581,0.938,49833415.0,0.0715,4097553.0,1.04,0.68,33.4484,-112.074,15592111.0,21.3,4.79,At Risk,Stable,5,0,15,10,10,40,VALUE-ADD,Opportunity. Reposition or acquire at discount.,15592111.0,21.3,4.79,At Risk,Stable
PROP-024,Dallas Multifamily 24,Dallas-Fort Worth,Multifamily,Stabilized,2019-05-21,71993471,77323395.0,173138,4686775.0,0.0651,0.976,52934783.0,0.0577,3512488.0,1.33,0.735,32.7767,-96.797,5329924.0,7.4,6.06,Healthy,Strong,15,15,5,20,15,70,HOLD,Strong performer. Stable income and healthy debt coverage.,5329924.0,7.4,6.06,Healthy,Strong
PROP-025,Denver Multifamily 25,Denver,Multifamily,Stabilized,2021-05-08,39568532,42018714.0,197002,2496774.0,0.0631,0.938,29445303.0,0.0647,2190878.0,1.14,0.744,39.7392,-104.9903,2450182.0,6.2,5.94,At Risk,Stable,10,0,5,10,15,40,VALUE-ADD,Opportunity. Reposition or acquire at discount.,2450182.0,6.2,5.94,At Risk,Stable
PROP-026,Denver Office 26,Denver,Office,Value-Add,2020-10-09,35415205,44044128.0,88358,2422400.0,0.0684,0.893,24132572.0,0.0595,1651271.0,1.47,0.681,39.7392,-104.9903,8628923.0,24.4,5.5,Healthy,Below Target,15,20,15,5,15,70,HOLD,Strong performer. Stable income and healthy debt coverage.,8628923.0,24.4,5.5,Healthy,Below Target
PROP-027,Dallas Multifamily 27,Dallas-Fort Worth,Multifamily,Stabilized,2021-01-26,21419256,28150455.0,140136,1210188.0,0.0565,0.973,14379077.0,0.0595,983888.0,1.23,0.671,32.7767,-96.797,6731199.0,31.4,4.3,Watch,Strong,5,10,20,20,5,60,SELL,Underperforming. Consider exit and capital redeployment.,6731199.0,31.4,4.3,Watch,Strong
PROP-028,Houston Industrial 28,Houston,Industrial,Value-Add,2022-09-20,48603163,62947475.0,134867,3266133.0,0.0672,0.881,36390321.0,0.0661,2766210.0,1.18,0.749,29.7604,-95.3698,14344312.0,29.5,5.19,Watch,Below Target,15,5,20,5,10,55,SELL,Underperforming. Consider exit and capital redeployment.,14344312.0,29.5,5.19,Watch,Below Target
PROP-029,Dallas Industrial 29,Dallas-Fort Worth,Industrial,Value-Add,2020-02-21,23492573,26151671.0,89328,1710259.0,0.0728,0.908,17014300.0,0.0576,1127027.0,1.52,0.724,32.7767,-96.797,2659098.0,11.3,6.54,Healthy,Stable,20,20,10,10,20,80,HOLD,Strong performer. Stable income and healthy debt coverage.,2659098.0,11.3,6.54,Healthy,Stable
PROP-030,Houston Retail 30,Houston,Retail,Development,2020-06-20,14818112,18986977.0,85829,841669.0,0.0568,0.88,10259432.0,0.0597,704361.0,1.19,0.692,29.7604,-95.3698,4168865.0,28.1,4.43,Watch,Below Target,5,5,20,5,5,40,VALUE-ADD,Opportunity. Reposition or acquire at discount.,4168865.0,28.1,4.43,Watch,Below Target
PROP-031,Austin Retail 31,Austin,Retail,Stabilized,2021-01-26,65403166,71597911.0,164619,4329690.0,0.0662,0.949,43243748.0,0.0711,3535825.0,1.22,0.661,30.2672,-97.7431,6194745.0,9.5,6.05,Watch,Stable,15,10,5,15,15,60,SELL,Underperforming. Consider exit and capital redeployment.,6194745.0,9.5,6.05,Watch,Stable
PROP-032,Denver Industrial 32,Denver,Industrial,Value-Add,2020-03-06,25105448,26661194.0,132666,1400884.0,0.0558,0.977,17234015.0,0.0709,1405175.0,1.0,0.686,39.7392,-104.9903,1555746.0,6.2,5.25,At Risk,Strong,5,0,5,20,10,40,VALUE-ADD,Opportunity. Reposition or acquire at discount.,1555746.0,6.2,5.25,At Risk,Strong
PROP-033,Austin Multifamily 33,Austin,Multifamily,Stabilized,2021-04-24,62543049,68719208.0,112714,4659457.0,0.0745,0.904,45340443.0,0.0707,3686405.0,1.26,0.725,30.2672,-97.7431,6176159.0,9.9,6.78,Watch,Stable,20,10,5,10,20,65,SELL,Underperforming. Consider exit and capital redeployment.,6176159.0,9.9,6.78,Watch,Stable
PROP-034,Dallas Industrial 34,Dallas-Fort Worth,Industrial,Stabilized,2021-02-22,63259205,81364771.0,107080,4491404.0,0.071,0.907,46584484.0,0.0688,3685764.0,1.22,0.736,32.7767,-96.797,18105566.0,28.6,5.52,Watch,Stable,20,10,20,10,15,75,HOLD,Strong performer. Stable income and healthy debt coverage.,18105566.0,28.6,5.52,Watch,Stable
PROP-035,Dallas Retail 35,Dallas-Fort Worth,Retail,Stabilized,2022-09-13,34786211,38900677.0,78309,2480257.0,0.0713,0.96,24212258.0,0.0602,1676215.0,1.48,0.696,32.7767,-96.797,4114466.0,11.8,6.38,Healthy,Strong,20,20,10,15,15,80,HOLD,Strong performer. Stable income and healthy debt coverage.,4114466.0,11.8,6.38,Healthy,Strong
PROP-036,Austin Retail 36,Austin,Retail,Development,2020-11-09,45393469,53105979.0,106051,3281948.0,0.0723,0.944,33894800.0,0.0597,2327047.0,1.41,0.747,30.2672,-97.7431,7712510.0,17.0,6.18,Healthy,Stable,20,20,15,15,15,85,HOLD,Strong performer. Stable income and healthy debt coverage.,7712510.0,17.0,6.18,Healthy,Stable
PROP-037,Dallas Multifamily 37,Dallas-Fort Worth,Multifamily,Value-Add,2021-06-12,31966966,36880485.0,88475,2129000.0,0.0666,0.94,23922641.0,0.0557,1532365.0,1.39,0.748,32.7767,-96.797,4913519.0,15.4,5.77,Healthy,Stable,15,15,15,15,15,75,HOLD,Strong performer. Stable income and healthy debt coverage.,4913519.0,15.4,5.77,Healthy,Stable
PROP-038,Denver Multifamily 38,Denver,Multifamily,Development,2022-10-05,33511941,40600910.0,120976,2014068.0,0.0601,0.973,24158039.0,0.055,1527996.0,1.32,0.721,39.7392,-104.9903,7088969.0,21.2,4.96,Healthy,Strong,10,15,15,20,10,70,HOLD,Strong performer. Stable income and healthy debt coverage.,7088969.0,21.2,4.96,Healthy,Strong
PROP-039,Austin Office 39,Austin,Office,Value-Add,2021-11-04,17391725,18911546.0,133062,1286988.0,0.074,0.946,12906001.0,0.0656,973629.0,1.32,0.742,30.2672,-97.7431,1519821.0,8.7,6.81,Healthy,Stable,20,15,5,15,20,75,HOLD,Strong performer. Stable income and healthy debt coverage.,1519821.0,8.7,6.81,Healthy,Stable
PROP-040,Houston Retail 40,Houston,Retail,Development,2019-12-23,62009265,72162884.0,105506,4272438.0,0.0689,0.946,43743893.0,0.0583,2932809.0,1.46,0.705,29.7604,-95.3698,10153619.0,16.4,5.92,Healthy,Stable,15,20,15,15,15,80,HOLD,Strong performer. Stable income and healthy debt coverage.,10153619.0,16.4,5.92,Healthy,Stable
PROP-041,Denver Office 41,Denver,Office,Value-Add,2021-06-24,8054484,9235874.0,126450,492129.0,0.0611,0.941,5404706.0,0.0684,425134.0,1.16,0.671,39.7392,-104.9903,1181390.0,14.7,5.33,Watch,Stable,10,5,10,15,10,50,SELL,Underperforming. Consider exit and capital redeployment.,1181390.0,14.7,5.33,Watch,Stable
PROP-042,Austin Retail 42,Austin,Retail,Stabilized,2022-10-09,19381064,25885347.0,64483,1176431.0,0.0607,0.889,13884311.0,0.0655,1045836.0,1.12,0.716,30.2672,-97.7431,6504283.0,33.6,4.54,At Risk,Below Target,10,0,20,5,10,45,VALUE-ADD,Opportunity. Reposition or acquire at discount.,6504283.0,33.6,4.54,At Risk,Below Target
PROP-043,Houston Industrial 43,Houston,Industrial,Value-Add,2022-07-13,27777514,29773286.0,72200,1541652.0,0.0555,0.965,18735496.0,0.0631,1359541.0,1.13,0.674,29.7604,-95.3698,1995772.0,7.2,5.18,At Risk,Strong,5,0,5,15,10,35,VALUE-ADD,Opportunity. Reposition or acquire at discount.,1995772.0,7.2,5.18,At Risk,Strong
PROP-044,Denver Industrial 44,Denver,Industrial,Stabilized,2021-05-20,74354180,97265095.0,120657,4684313.0,0.063,0.969,49427472.0,0.0667,3791334.0,1.24,0.665,39.7392,-104.9903,22910915.0,30.8,4.82,Watch,Strong,10,10,20,15,10,65,SELL,Underperforming. Consider exit and capital redeployment.,22910915.0,30.8,4.82,Watch,Strong
PROP-045,Austin Industrial 45,Austin,Industrial,Development,2021-12-23,70350830,90782468.0,155779,3939646.0,0.056,0.926,47481170.0,0.0694,3789472.0,1.04,0.675,30.2672,-97.7431,20431638.0,29.0,4.34,At Risk,Stable,5,0,20,10,5,40,VALUE-ADD,Opportunity. Reposition or acquire at discount.,20431638.0,29.0,4.34,At Risk,Stable
PROP-046,Denver Office 46,Denver,Office,Value-Add,2020-06-14,75750178,99115205.0,136017,4810136.0,0.0635,0.896,56107056.0,0.0626,4039147.0,1.19,0.741,39.7392,-104.9903,23365027.0,30.8,4.85,Watch,Below Target,10,5,20,5,10,50,SELL,Underperforming. Consider exit and capital redeployment.,23365027.0,30.8,4.85,Watch,Below Target
PROP-047,Austin Office 47,Austin,Office,Value-Add,2022-01-11,73041510,82647530.0,156655,4930302.0,0.0675,0.909,49482683.0,0.0563,3203756.0,1.54,0.677,30.2672,-97.7431,9606020.0,13.2,5.97,Healthy,Stable,15,20,10,10,15,70,HOLD,Strong performer. Stable income and healthy debt coverage.,9606020.0,13.2,5.97,Healthy,Stable
PROP-048,Dallas Industrial 48,Dallas-Fort Worth,Industrial,Value-Add,2021-05-01,39039390,44866582.0,59539,2447770.0,0.0627,0.921,25972146.0,0.0586,1750263.0,1.4,0.665,32.7767,-96.797,5827192.0,14.9,5.46,Healthy,Stable,10,20,10,10,10,60,SELL,Underperforming. Consider exit and capital redeployment.,5827192.0,14.9,5.46,Healthy,Stable
PROP-049,Dallas Industrial 49,Dallas-Fort Worth,Industrial,Value-Add,2021-09-03,60274692,77132220.0,130138,4406080.0,0.0731,0.966,42699070.0,0.0668,3280143.0,1.34,0.708,32.7767,-96.797,16857528.0,28.0,5.71,Healthy,Strong,20,15,20,15,15,85,HOLD,Strong performer. Stable income and healthy debt coverage.,16857528.0,28.0,5.71,Healthy,Strong
PROP-050,Dallas Office 50,Dallas-Fort Worth,Office,Development,2020-03-27,60343121,73246875.0,98279,4350739.0,0.0721,0.955,44976325.0,0.0621,3211984.0,1.35,0.745,32.7767,-96.797,12903754.0,21.4,5.94,Healthy,Strong,20,15,15,15,15,80,HOLD,Strong performer. Stable income and healthy debt coverage.,12903754.0,21.4,5.94,Healthy,Strong
