property_id,property_name,market,asset_type,status,month,month_date,year,quarter,noi_monthly,occupancy,revenue,opex,debt_service_monthly,market,asset_type,status,property_name
PROP-001,Dallas Multifamily 01,Dallas-Fort Worth,Multifamily,Value-Add,2022-11,2022-11-01,2022,Q4,198235.0,0.936,343534.0,130677.0,188476.0,Dallas-Fort Worth,Multifamily,Value-Add,Dallas Multifamily 01
PROP-001,Dallas Multifamily 01,Dallas-Fort Worth,Multifamily,Value-Add,2022-12,2022-12-01,2022,Q4,199085.0,0.942,349026.0,134249.0,188476.0,Dallas-Fort Worth,Multifamily,Value-Add,Dallas Multifamily 01
PROP-001,Dallas Multifamily 01,Dallas-Fort Worth,Multifamily,Value-Add,2023-01,2023-01-01,2023,Q1,200469.0,0.938,347406.0,132378.0,188476.0,Dallas-Fort Worth,Multifamily,Value-Add,Dallas Multifamily 01
PROP-001,Dallas Multifamily 01,Dallas-Fort Worth,Multifamily,Value-Add,2023-02,2023-02-01,2023,Q1,208194.0,0.954,349788.0,133569.0,188476.0,Dallas-Fort Worth,Multifamily,Value-Add,Dallas Multifamily 01
PROP-001,Dallas Multifamily 01,Dallas-Fort Worth,Multifamily,Value-Add,2023-03,2023-03-01,2023,Q1,214120.0,0.957,345355.0,129597.0,188476.0,Dallas-Fort Worth,Multifamily,Value-Add,Dallas Multifamily 01
PROP-001,Dallas Multifamily 01,Dallas-Fort Worth,Multifamily,Value-Add,2023-04,2023-04-01,2023,Q2,226068.0,0.986,350601.0,132943.0,188476.0,Dallas-Fort Worth,Multifamily,Value-Add,Dallas Multifamily 01
PROP-001,Dallas Multifamily 01,Dallas-Fort Worth,Multifamily,Value-Add,2023-05,2023-05-01,2023,Q2,236591.0,0.99,356873.0,137104.0,188476.0,Dallas-Fort Worth,Multifamily,Value-Add,Dallas Multifamily 01
PROP-001,Dallas Multifamily 01,Dallas-Fort Worth,Multifamily,Value-Add,2023-06,2023-06-01,2023,Q2,235188.0,0.99,351236.0,132195.0,188476.0,Dallas-Fort Worth,Multifamily,Value-Add,Dallas Multifamily 01
PROP-001,Dallas Multifamily 01,Dallas-Fort Worth,Multifamily,Value-Add,2023-07,2023-07-01,2023,Q3,234483.0,0.99,353693.0,133436.0,188476.0,Dallas-Fort Worth,Multifamily,Value-Add,Dallas Multifamily 01
PROP-001,Dallas Multifamily 01,Dallas-Fort Worth,Multifamily,Value-Add,2023-08,2023-08-01,2023,Q3,229573.0,0.983,356037.0,134593.0,188476.0,Dallas-Fort Worth,Multifamily,Value-Add,Dallas Multifamily 01
PROP-001,Dallas Multifamily 01,Dallas-Fort Worth,Multifamily,Value-Add,2023-09,2023-09-01,2023,Q3,222602.0,0.968,359036.0,136248.0,188476.0,Dallas-Fort Worth,Multifamily,Value-Add,Dallas Multifamily 01
PROP-001,Dallas Multifamily 01,Dallas-Fort Worth,Multifamily,Value-Add,2023-10,2023-10-01,2023,Q4,213914.0,0.945,359398.0,135905.0,188476.0,Dallas-Fort Worth,Multifamily,Value-Add,Dallas Multifamily 01
PROP-001,Dallas Multifamily 01,Dallas-Fort Worth,Multifamily,Value-Add,2023-11,2023-11-01,2023,Q4,211732.0,0.946,366925.0,141020.0,188476.0,Dallas-Fort Worth,Multifamily,Value-Add,Dallas Multifamily 01
PROP-001,Dallas Multifamily 01,Dallas-Fort Worth,Multifamily,Value-Add,2023-12,2023-12-01,2023,Q4,206487.0,0.924,362003.0,136646.0,188476.0,Dallas-Fort Worth,Multifamily,Value-Add,Dallas Multifamily 01
PROP-001,Dallas Multifamily 01,Dallas-Fort Worth,Multifamily,Value-Add,2024-01,2024-01-01,2024,Q1,214093.0,0.948,371017.0,142895.0,188476.0,Dallas-Fort Worth,Multifamily,Value-Add,Dallas Multifamily 01
PROP-001,Dallas Multifamily 01,Dallas-Fort Worth,Multifamily,Value-Add,2024-02,2024-02-01,2024,Q1,218338.0,0.947,366831.0,139068.0,188476.0,Dallas-Fort Worth,Multifamily,Value-Add,Dallas Multifamily 01
PROP-001,Dallas Multifamily 01,Dallas-Fort Worth,Multifamily,Value-Add,2024-03,2024-03-01,2024,Q1,231285.0,0.979,373041.0,143180.0,188476.0,Dallas-Fort Worth,Multifamily,Value-Add,Dallas Multifamily 01
PROP-001,Dallas Multifamily 01,Dallas-Fort Worth,Multifamily,Value-Add,2024-04,2024-04-01,2024,Q2,238985.0,0.987,370634.0,140715.0,188476.0,Dallas-Fort Worth,Multifamily,Value-Add,Dallas Multifamily 01
PROP-001,Dallas Multifamily 01,Dallas-Fort Worth,Multifamily,Value-Add,2024-05,2024-05-01,2024,Q2,248861.0,0.99,375382.0,143711.0,188476.0,Dallas-Fort Worth,Multifamily,Value-Add,Dallas Multifamily 01
PROP-001,Dallas Multifamily 01,Dallas-Fort Worth,Multifamily,Value-Add,2024-06,2024-06-01,2024,Q2,247219.0,0.99,369204.0,138412.0,188476.0,Dallas-Fort Worth,Multifamily,Value-Add,Dallas Multifamily 01
PROP-001,Dallas Multifamily 01,Dallas-Fort Worth,Multifamily,Value-Add,2024-07,2024-07-01,2024,Q3,252561.0,0.99,380963.0,146729.0,188476.0,Dallas-Fort Worth,Multifamily,Value-Add,Dallas Multifamily 01
PROP-001,Dallas Multifamily 01,Dallas-Fort Worth,Multifamily,Value-Add,2024-08,2024-08-01,2024,Q3,241399.0,0.98,374378.0,141087.0,188476.0,Dallas-Fort Worth,Multifamily,Value-Add,Dallas Multifamily 01
PROP-001,Dallas Multifamily 01,Dallas-Fort Worth,Multifamily,Value-Add,2024-09,2024-09-01,2024,Q3,232022.0,0.956,374229.0,140367.0,188476.0,Dallas-Fort Worth,Multifamily,Value-Add,Dallas Multifamily 01
PROP-001,Dallas Multifamily 01,Dallas-Fort Worth,Multifamily,Value-Add,2024-10,2024-10-01,2024,Q4,229743.0,0.963,385993.0,148690.0,188476.0,Dallas-Fort Worth,Multifamily,Value-Add,Dallas Multifamily 01
PROP-001,Dallas Multifamily 01,Dallas-Fort Worth,Multifamily,Value-Add,2024-11,2024-11-01,2024,Q4,217621.0,0.923,377129.0,141332.0,188476.0,Dallas-Fort Worth,Multifamily,Value-Add,Dallas Multifamily 01
PROP-001,Dallas Multifamily 01,Dallas-Fort Worth,Multifamily,Value-Add,2024-12,2024-12-01,2024,Q4,215973.0,0.917,378635.0,141857.0,188476.0,Dallas-Fort Worth,Multifamily,Value-Add,Dallas Multifamily 01
PROP-002,Dallas Multifamily 02,Dallas-Fort Worth,Multifamily,Stabilized,2022-01,2022-01-01,2022,Q1,196562.0,0.905,340636.0,128460.0,143285.0,Dallas-Fort Worth,Multifamily,Stabilized,Dallas Multifamily 02
PROP-002,Dallas Multifamily 02,Dallas-Fort Worth,Multifamily,Stabilized,2022-02,2022-02-01,2022,Q1,207406.0,0.936,348465.0,133764.0,143285.0,Dallas-Fort Worth,Multifamily,Stabilized,Dallas Multifamily 02
PROP-002,Dallas Multifamily 02,Dallas-Fort Worth,Multifamily,Stabilized,2022-03,2022-03-01,2022,Q1,215718.0,0.948,347932.0,132695.0,143285.0,Dallas-Fort Worth,Multifamily,Stabilized,Dallas Multifamily 02
PROP-002,Dallas Multifamily 02,Dallas-Fort Worth,Multifamily,Stabilized,2022-04,2022-04-01,2022,Q2,222878.0,0.956,345654.0,130318.0,143285.0,Dallas-Fort Worth,Multifamily,Stabilized,Dallas Multifamily 02
PROP-002,Dallas Multifamily 02,Dallas-Fort Worth,Multifamily,Stabilized,2022-05,2022-05-01,2022,Q2,231918.0,0.977,349825.0,132828.0,143285.0,Dallas-Fort Worth,Multifamily,Stabilized,Dallas Multifamily 02
PROP-002,Dallas Multifamily 02,Dallas-Fort Worth,Multifamily,Stabilized,2022-06,2022-06-01,2022,Q2,232853.0,0.971,347749.0,130616.0,143285.0,Dallas-Fort Worth,Multifamily,Stabilized,Dallas Multifamily 02
PROP-002,Dallas Multifamily 02,Dallas-Fort Worth,Multifamily,Stabilized,2022-07,2022-07-01,2022,Q3,237526.0,0.99,358284.0,137977.0,143285.0,Dallas-Fort Worth,Multifamily,Stabilized,Dallas Multifamily 02
PROP-002,Dallas Multifamily 02,Dallas-Fort Worth,Multifamily,Stabilized,2022-08,2022-08-01,2022,Q3,228826.0,0.963,354879.0,134713.0,143285.0,Dallas-Fort Worth,Multifamily,Stabilized,Dallas Multifamily 02
PROP-002,Dallas Multifamily 02,Dallas-Fort Worth,Multifamily,Stabilized,2022-09,2022-09-01,2022,Q3,219702.0,0.938,354357.0,133671.0,143285.0,Dallas-Fort Worth,Multifamily,Stabilized,Dallas Multifamily 02
PROP-002,Dallas Multifamily 02,Dallas-Fort Worth,Multifamily,Stabilized,2022-10,2022-10-01,2022,Q4,212649.0,0.922,357273.0,135230.0,143285.0,Dallas-Fort Worth,Multifamily,Stabilized,Dallas Multifamily 02
PROP-002,Dallas Multifamily 02,Dallas-Fort Worth,Multifamily,Stabilized,2022-11,2022-11-01,2022,Q4,208628.0,0.915,361545.0,137824.0,143285.0,Dallas-Fort Worth,Multifamily,Stabilized,Dallas Multifamily 02
PROP-002,Dallas Multifamily 02,Dallas-Fort Worth,Multifamily,Stabilized,2022-12,2022-12-01,2022,Q4,209425.0,0.92,367154.0,141460.0,143285.0,Dallas-Fort Worth,Multifamily,Stabilized,Dallas Multifamily 02
PROP-002,Dallas Multifamily 02,Dallas-Fort Worth,Multifamily,Stabilized,2023-01,2023-01-01,2023,Q1,211323.0,0.918,366216.0,140074.0,143285.0,Dallas-Fort Worth,Multifamily,Stabilized,Dallas Multifamily 02
PROP-002,Dallas Multifamily 02,Dallas-Fort Worth,Multifamily,Stabilized,2023-02,2023-02-01,2023,Q1,219388.0,0.934,368595.0,141233.0,143285.0,Dallas-Fort Worth,Multifamily,Stabilized,Dallas Multifamily 02
PROP-002,Dallas Multifamily 02,Dallas-Fort Worth,Multifamily,Stabilized,2023-03,2023-03-01,2023,Q1,225407.0,0.935,363560.0,136759.0,143285.0,Dallas-Fort Worth,Multifamily,Stabilized,Dallas Multifamily 02
PROP-002,Dallas Multifamily 02,Dallas-Fort Worth,Multifamily,Stabilized,2023-04,2023-04-01,2023,Q2,236570.0,0.958,366889.0,138627.0,143285.0,Dallas-Fort Worth,Multifamily,Stabilized,Dallas Multifamily 02
PROP-002,Dallas Multifamily 02,Dallas-Fort Worth,Multifamily,Stabilized,2023-05,2023-05-01,2023,Q2,246336.0,0.98,371572.0,141531.0,143285.0,Dallas-Fort Worth,Multifamily,Stabilized,Dallas Multifamily 02
PROP-002,Dallas Multifamily 02,Dallas-Fort Worth,Multifamily,Stabilized,2023-06,2023-06-01,2023,Q2,252577.0,0.99,377205.0,145182.0,143285.0,Dallas-Fort Worth,Multifamily,Stabilized,Dallas Multifamily 02
PROP-002,Dallas Multifamily 02,Dallas-Fort Worth,Multifamily,Stabilized,2023-07,2023-07-01,2023,Q3,248595.0,0.98,374980.0,142816.0,143285.0,Dallas-Fort Worth,Multifamily,Stabilized,Dallas Multifamily 02
PROP-002,Dallas Multifamily 02,Dallas-Fort Worth,Multifamily,Stabilized,2023-08,2023-08-01,2023,Q3,245312.0,0.976,380446.0,146339.0,143285.0,Dallas-Fort Worth,Multifamily,Stabilized,Dallas Multifamily 02
PROP-002,Dallas Multifamily 02,Dallas-Fort Worth,Multifamily,Stabilized,2023-09,2023-09-01,2023,Q3,233213.0,0.941,376150.0,142402.0,143285.0,Dallas-Fort Worth,Multifamily,Stabilized,Dallas Multifamily 02
PROP-002,Dallas Multifamily 02,Dallas-Fort Worth,Multifamily,Stabilized,2023-10,2023-10-01,2023,Q4,228736.0,0.938,384301.0,147968.0,143285.0,Dallas-Fort Worth,Multifamily,Stabilized,Dallas Multifamily 02
PROP-002,Dallas Multifamily 02,Dallas-Fort Worth,Multifamily,Stabilized,2023-11,2023-11-01,2023,Q4,217861.0,0.904,377546.0,142169.0,143285.0,Dallas-Fort Worth,Multifamily,Stabilized,Dallas Multifamily 02
PROP-002,Dallas Multifamily 02,Dallas-Fort Worth,Multifamily,Stabilized,2023-12,2023-12-01,2023,Q4,218901.0,0.91,383768.0,146235.0,143285.0,Dallas-Fort Worth,Multifamily,Stabilized,Dallas Multifamily 02
PROP-002,Dallas Multifamily 02,Dallas-Fort Worth,Multifamily,Stabilized,2024-01,2024-01-01,2024,Q1,224032.0,0.921,388239.0,148994.0,143285.0,Dallas-Fort Worth,Multifamily,Stabilized,Dallas Multifamily 02
PROP-002,Dallas Multifamily 02,Dallas-Fort Worth,Multifamily,Stabilized,2024-02,2024-02-01,2024,Q1,228059.0,0.919,383164.0,144479.0,143285.0,Dallas-Fort Worth,Multifamily,Stabilized,Dallas Multifamily 02
PROP-002,Dallas Multifamily 02,Dallas-Fort Worth,Multifamily,Stabilized,2024-03,2024-03-01,2024,Q1,241895.0,0.951,390154.0,149136.0,143285.0,Dallas-Fort Worth,Multifamily,Stabilized,Dallas Multifamily 02
PROP-002,Dallas Multifamily 02,Dallas-Fort Worth,Multifamily,Stabilized,2024-04,2024-04-01,2024,Q2,249703.0,0.958,387256.0,146281.0,143285.0,Dallas-Fort Worth,Multifamily,Stabilized,Dallas Multifamily 02
PROP-002,Dallas Multifamily 02,Dallas-Fort Worth,Multifamily,Stabilized,2024-05,2024-05-01,2024,Q2,260843.0,0.983,393454.0,150339.0,143285.0,Dallas-Fort Worth,Multifamily,Stabilized,Dallas Multifamily 02
PROP-002,Dallas Multifamily 02,Dallas-Fort Worth,Multifamily,Stabilized,2024-06,2024-06-01,2024,Q2,265570.0,0.99,396610.0,152093.0,143285.0,Dallas-Fort Worth,Multifamily,Stabilized,Dallas Multifamily 02
PROP-002,Dallas Multifamily 02,Dallas-Fort Worth,Multifamily,Stabilized,2024-07,2024-07-01,2024,Q3,264010.0,0.986,398232.0,152673.0,143285.0,Dallas-Fort Worth,Multifamily,Stabilized,Dallas Multifamily 02
PROP-002,Dallas Multifamily 02,Dallas-Fort Worth,Multifamily,Stabilized,2024-08,2024-08-01,2024,Q3,256130.0,0.966,397224.0,151244.0,143285.0,Dallas-Fort Worth,Multifamily,Stabilized,Dallas Multifamily 02
PROP-002,Dallas Multifamily 02,Dallas-Fort Worth,Multifamily,Stabilized,2024-09,2024-09-01,2024,Q3,243458.0,0.932,392674.0,147162.0,143285.0,Dallas-Fort Worth,Multifamily,Stabilized,Dallas Multifamily 02
PROP-002,Dallas Multifamily 02,Dallas-Fort Worth,Multifamily,Stabilized,2024-10,2024-10-01,2024,Q4,238238.0,0.927,400265.0,152250.0,143285.0,Dallas-Fort Worth,Multifamily,Stabilized,Dallas Multifamily 02
PROP-002,Dallas Multifamily 02,Dallas-Fort Worth,Multifamily,Stabilized,2024-11,2024-11-01,2024,Q4,232858.0,0.917,403535.0,154086.0,143285.0,Dallas-Fort Worth,Multifamily,Stabilized,Dallas Multifamily 02
PROP-002,Dallas Multifamily 02,Dallas-Fort Worth,Multifamily,Stabilized,2024-12,2024-12-01,2024,Q4,227070.0,0.895,398090.0,149318.0,143285.0,Dallas-Fort Worth,Multifamily,Stabilized,Dallas Multifamily 02
PROP-003,Denver Office 03,Denver,Office,Stabilized,2022-01,2022-01-01,2022,Q1,158191.0,0.946,274139.0,104634.0,111119.0,Denver,Office,Stabilized,Denver Office 03
PROP-003,Denver Office 03,Denver,Office,Stabilized,2022-02,2022-02-01,2022,Q1,160874.0,0.942,270286.0,101207.0,111119.0,Denver,Office,Stabilized,Denver Office 03
PROP-003,Denver Office 03,Denver,Office,Stabilized,2022-03,2022-03-01,2022,Q1,170500.0,0.974,275000.0,104249.0,111119.0,Denver,Office,Stabilized,Denver Office 03
PROP-003,Denver Office 03,Denver,Office,Stabilized,2022-04,2022-04-01,2022,Q2,178573.0,0.99,276944.0,105208.0,111119.0,Denver,Office,Stabilized,Denver Office 03
PROP-003,Denver Office 03,Denver,Office,Stabilized,2022-05,2022-05-01,2022,Q2,184192.0,0.99,277835.0,105367.0,111119.0,Denver,Office,Stabilized,Denver Office 03
PROP-003,Denver Office 03,Denver,Office,Stabilized,2022-06,2022-06-01,2022,Q2,186549.0,0.99,278598.0,105430.0,111119.0,Denver,Office,Stabilized,Denver Office 03
PROP-003,Denver Office 03,Denver,Office,Stabilized,2022-07,2022-07-01,2022,Q3,188559.0,0.99,284422.0,109350.0,111119.0,Denver,Office,Stabilized,Denver Office 03
PROP-003,Denver Office 03,Denver,Office,Stabilized,2022-08,2022-08-01,2022,Q3,181926.0,0.99,282143.0,107085.0,111119.0,Denver,Office,Stabilized,Denver Office 03
PROP-003,Denver Office 03,Denver,Office,Stabilized,2022-09,2022-09-01,2022,Q3,174154.0,0.966,280894.0,105629.0,111119.0,Denver,Office,Stabilized,Denver Office 03
PROP-003,Denver Office 03,Denver,Office,Stabilized,2022-10,2022-10-01,2022,Q4,168110.0,0.947,282442.0,106285.0,111119.0,Denver,Office,Stabilized,Denver Office 03
PROP-003,Denver Office 03,Denver,Office,Stabilized,2022-11,2022-11-01,2022,Q4,165476.0,0.943,286765.0,109042.0,111119.0,Denver,Office,Stabilized,Denver Office 03
PROP-003,Denver Office 03,Denver,Office,Stabilized,2022-12,2022-12-01,2022,Q4,164984.0,0.941,289242.0,110408.0,111119.0,Denver,Office,Stabilized,Denver Office 03
PROP-003,Denver Office 03,Denver,Office,Stabilized,2023-01,2023-01-01,2023,Q1,167524.0,0.945,290313.0,110703.0,111119.0,Denver,Office,Stabilized,Denver Office 03
PROP-003,Denver Office 03,Denver,Office,Stabilized,2023-02,2023-02-01,2023,Q1,175186.0,0.969,294331.0,113254.0,111119.0,Denver,Office,Stabilized,Denver Office 03
PROP-003,Denver Office 03,Denver,Office,Stabilized,2023-03,2023-03-01,2023,Q1,182554.0,0.984,294443.0,112810.0,111119.0,Denver,Office,Stabilized,Denver Office 03
PROP-003,Denver Office 03,Denver,Office,Stabilized,2023-04,2023-04-01,2023,Q2,188986.0,0.99,293092.0,111258.0,111119.0,Denver,Office,Stabilized,Denver Office 03
PROP-003,Denver Office 03,Denver,Office,Stabilized,2023-05,2023-05-01,2023,Q2,197326.0,0.99,297646.0,114211.0,111119.0,Denver,Office,Stabilized,Denver Office 03
PROP-003,Denver Office 03,Denver,Office,Stabilized,2023-06,2023-06-01,2023,Q2,198839.0,0.99,296952.0,113155.0,111119.0,Denver,Office,Stabilized,Denver Office 03
PROP-003,Denver Office 03,Denver,Office,Stabilized,2023-07,2023-07-01,2023,Q3,196174.0,0.99,295909.0,111846.0,111119.0,Denver,Office,Stabilized,Denver Office 03
PROP-003,Denver Office 03,Denver,Office,Stabilized,2023-08,2023-08-01,2023,Q3,191233.0,0.988,296578.0,111839.0,111119.0,Denver,Office,Stabilized,Denver Office 03
PROP-003,Denver Office 03,Denver,Office,Stabilized,2023-09,2023-09-01,2023,Q3,188566.0,0.989,304139.0,117080.0,111119.0,Denver,Office,Stabilized,Denver Office 03
PROP-003,Denver Office 03,Denver,Office,Stabilized,2023-10,2023-10-01,2023,Q4,178315.0,0.95,299589.0,113089.0,111119.0,Denver,Office,Stabilized,Denver Office 03
PROP-003,Denver Office 03,Denver,Office,Stabilized,2023-11,2023-11-01,2023,Q4,174560.0,0.941,302507.0,114783.0,111119.0,Denver,Office,Stabilized,Denver Office 03
PROP-003,Denver Office 03,Denver,Office,Stabilized,2023-12,2023-12-01,2023,Q4,174888.0,0.944,306605.0,117385.0,111119.0,Denver,Office,Stabilized,Denver Office 03
PROP-003,Denver Office 03,Denver,Office,Stabilized,2024-01,2024-01-01,2024,Q1,176763.0,0.944,306324.0,116647.0,111119.0,Denver,Office,Stabilized,Denver Office 03
PROP-003,Denver Office 03,Denver,Office,Stabilized,2024-02,2024-02-01,2024,Q1,183677.0,0.961,308597.0,117859.0,111119.0,Denver,Office,Stabilized,Denver Office 03
PROP-003,Denver Office 03,Denver,Office,Stabilized,2024-03,2024-03-01,2024,Q1,190277.0,0.971,306899.0,116049.0,111119.0,Denver,Office,Stabilized,Denver Office 03
PROP-003,Denver Office 03,Denver,Office,Stabilized,2024-04,2024-04-01,2024,Q2,199710.0,0.99,309724.0,117675.0,111119.0,Denver,Office,Stabilized,Denver Office 03
PROP-003,Denver Office 03,Denver,Office,Stabilized,2024-05,2024-05-01,2024,Q2,205190.0,0.99,309508.0,116996.0,111119.0,Denver,Office,Stabilized,Denver Office 03
PROP-003,Denver Office 03,Denver,Office,Stabilized,2024-06,2024-06-01,2024,Q2,209176.0,0.99,312390.0,118664.0,111119.0,Denver,Office,Stabilized,Denver Office 03
PROP-003,Denver Office 03,Denver,Office,Stabilized,2024-07,2024-07-01,2024,Q3,207176.0,0.99,312504.0,118234.0,111119.0,Denver,Office,Stabilized,Denver Office 03
PROP-003,Denver Office 03,Denver,Office,Stabilized,2024-08,2024-08-01,2024,Q3,201790.0,0.988,312950.0,118059.0,111119.0,Denver,Office,Stabilized,Denver Office 03
PROP-003,Denver Office 03,Denver,Office,Stabilized,2024-09,2024-09-01,2024,Q3,194995.0,0.97,314508.0,118723.0,111119.0,Denver,Office,Stabilized,Denver Office 03
PROP-003,Denver Office 03,Denver,Office,Stabilized,2024-10,2024-10-01,2024,Q4,189799.0,0.959,318882.0,121525.0,111119.0,Denver,Office,Stabilized,Denver Office 03
PROP-003,Denver Office 03,Denver,Office,Stabilized,2024-11,2024-11-01,2024,Q4,186369.0,0.953,322971.0,124128.0,111119.0,Denver,Office,Stabilized,Denver Office 03
PROP-003,Denver Office 03,Denver,Office,Stabilized,2024-12,2024-12-01,2024,Q4,183230.0,0.939,321231.0,122272.0,111119.0,Denver,Office,Stabilized,Denver Office 03
PROP-004,Dallas Office 04,Dallas-Fort Worth,Office,Development,2022-01,2022-01-01,2022,Q1,240019.0,0.944,415945.0,158138.0,193206.0,Dallas-Fort Worth,Office,Development,Dallas Office 04
PROP-004,Dallas Office 04,Dallas-Fort Worth,Office,Development,2022-02,2022-02-01,2022,Q1,246380.0,0.949,413944.0,155841.0,193206.0,Dallas-Fort Worth,Office,Development,Dallas Office 04
PROP-004,Dallas Office 04,Dallas-Fort Worth,Office,Development,2022-03,2022-03-01,2022,Q1,258315.0,0.969,416637.0,157094.0,193206.0,Dallas-Fort Worth,Office,Development,Dallas Office 04
PROP-004,Dallas Office 04,Dallas-Fort Worth,Office,Development,2022-04,2022-04-01,2022,Q2,271325.0,0.99,420790.0,159451.0,193206.0,Dallas-Fort Worth,Office,Development,Dallas Office 04
PROP-004,Dallas Office 04,Dallas-Fort Worth,Office,Development,2022-05,2022-05-01,2022,Q2,281593.0,0.99,424755.0,161674.0,193206.0,Dallas-Fort Worth,Office,Development,Dallas Office 04
PROP-004,Dallas Office 04,Dallas-Fort Worth,Office,Development,2022-06,2022-06-01,2022,Q2,283115.0,0.99,422812.0,159417.0,193206.0,Dallas-Fort Worth,Office,Development,Dallas Office 04
PROP-004,Dallas Office 04,Dallas-Fort Worth,Office,Development,2022-07,2022-07-01,2022,Q3,283680.0,0.99,427903.0,162487.0,193206.0,Dallas-Fort Worth,Office,Development,Dallas Office 04
PROP-004,Dallas Office 04,Dallas-Fort Worth,Office,Development,2022-08,2022-08-01,2022,Q3,279214.0,0.99,433023.0,165594.0,193206.0,Dallas-Fort Worth,Office,Development,Dallas Office 04
PROP-004,Dallas Office 04,Dallas-Fort Worth,Office,Development,2022-09,2022-09-01,2022,Q3,267651.0,0.975,431695.0,163789.0,193206.0,Dallas-Fort Worth,Office,Development,Dallas Office 04
PROP-004,Dallas Office 04,Dallas-Fort Worth,Office,Development,2022-10,2022-10-01,2022,Q4,254837.0,0.944,428154.0,160342.0,193206.0,Dallas-Fort Worth,Office,Development,Dallas Office 04
PROP-004,Dallas Office 04,Dallas-Fort Worth,Office,Development,2022-11,2022-11-01,2022,Q4,250340.0,0.937,433830.0,163838.0,193206.0,Dallas-Fort Worth,Office,Development,Dallas Office 04
PROP-004,Dallas Office 04,Dallas-Fort Worth,Office,Development,2022-12,2022-12-01,2022,Q4,249462.0,0.935,437346.0,165715.0,193206.0,Dallas-Fort Worth,Office,Development,Dallas Office 04
PROP-004,Dallas Office 04,Dallas-Fort Worth,Office,Development,2023-01,2023-01-01,2023,Q1,252335.0,0.936,437289.0,164890.0,193206.0,Dallas-Fort Worth,Office,Development,Dallas Office 04
PROP-004,Dallas Office 04,Dallas-Fort Worth,Office,Development,2023-02,2023-02-01,2023,Q1,264828.0,0.962,444939.0,169908.0,193206.0,Dallas-Fort Worth,Office,Development,Dallas Office 04
PROP-004,Dallas Office 04,Dallas-Fort Worth,Office,Development,2023-03,2023-03-01,2023,Q1,274717.0,0.973,443092.0,167713.0,193206.0,Dallas-Fort Worth,Office,Development,Dallas Office 04
PROP-004,Dallas Office 04,Dallas-Fort Worth,Office,Development,2023-04,2023-04-01,2023,Q2,288635.0,0.99,447635.0,170374.0,193206.0,Dallas-Fort Worth,Office,Development,Dallas Office 04
PROP-004,Dallas Office 04,Dallas-Fort Worth,Office,Development,2023-05,2023-05-01,2023,Q2,296270.0,0.99,446893.0,169023.0,193206.0,Dallas-Fort Worth,Office,Development,Dallas Office 04
PROP-004,Dallas Office 04,Dallas-Fort Worth,Office,Development,2023-06,2023-06-01,2023,Q2,306540.0,0.99,457796.0,176554.0,193206.0,Dallas-Fort Worth,Office,Development,Dallas Office 04
